qid,question,options,q_image,answer_q,subject,contain_img,img_file,user_id
im109,Vnexpress would like to test the hypothesis that the average length of an online video watched by a user is more than 6 minutes. A random sample of 80 people watched online videos that averaged 6.3 minutes in length. It is believed that the population standard deviation for the length of online videos is 1.2 minutes. Vnexpress would like to set the significance level =  0.05. The critical value for this hypothesis test would be ____,"[-1.645,-1.96,2.5,-2.5]",im109.png,-1.96,math,1,images/im109.png,admin
im11,,"[to = -1.98 fail to reject Ho, None of the other choices is correct, to = -0.099 fail to reject Ho, to = -0.099 reject Ho, to = -1.98 reject Ho]",im11.png,to = -0.099 fail to reject Ho,math,1,images/im11.png,admin
im110,,"[None of the other choices is correct, 0.881,0.792,0.819,0.993]",im110.png,0.819,math,1,images/im110.png,admin
im111,,"[150.67,167.94,173.38,140.88,None of the other choices is correct]",im111.png,173.38,math,1,images/im111.png,admin
im112,,"[2.106,1.96,None of the other choices is true,2.4,2.05]",im112.png,2.106,math,1,images/im112.png,admin
im113,,"[4.59,-4.59,0.96,-0.96]",im113.png,-0.96,math,1,images/im113.png,admin
im114,,"[a,b,c,d]",im114.png,b,math,1,images/im114.png,admin
im115,,"[a,b,c,d]",im115.png,a,math,1,images/im115.png,admin
im116,,"[a,b,c,d]",im116.png,c,math,1,images/im116.png,admin
im117,,"[a,b,c,d]",im117.png,d,math,1,images/im117.png,admin
im118,,"[a,b,c,d]",im118.png,c,math,1,images/im118.png,admin
im119,,"[a,b,c,d]",im119.png,b,math,1,images/im119.png,admin
im12,A major department store chain is interested in estimating the average amount its credit card customers spent on their first visit to the chain s new store in the mall Fifty credit card accounts were randomly sampled and analyzed with a mean 80$. Construct & a 95% confidence interval for the average amount its credit card customers spent on their first visit to the chain's new store in the mall. as using that the amount spent follows a normal distribution with the population standard deviation of 20$.,"[(75.33;84.67),(74.31;85.69),(74.46;85.54),(75.25;84.75),None of the other choices is correct]",im12.png,(74.31;85.69),math,1,images/im12.png,admin
im120,,"[a,b,c,d]",im120.png,a,math,1,images/im120.png,admin
im121,,"[5/12,7/12,7/18,5/18]",im121.png,18-Jul,math,1,images/im121.png,admin
im122,"What is the probability the person is a woman or a
Republican ?","[0.63,0.73,0.54,0.84]",im122.png,0.54,math,1,images/im122.png,admin
im123,What is the probability the person is a Democrat?,"[0.63,0.73,0.54,0.84]",im122.png,0.84,math,1,images/im122.png,admin
im124,"What is the probability the person is a Independent
men ?","[0.63,0.73,0.54,0.84]",im122.png,0.63,math,1,images/im122.png,admin
im125,,"[a,b,c,d]",im125.png,a,math,1,images/im125.png,admin
im126,"What is the probability that it has 50 or fewer
computers?","[0.25,0.08,0.75,0.47]",im126.png,0.08,math,1,images/im126.png,admin
im127,"What is the probability that it has no more than 20
computers?","[0.25,0.08,0.75,0.47]",im126.png,0.75,math,1,images/im126.png,admin
im128,"What is the probability of getting the sum as an even
number ?","[3/4,1/2,1/4,5/8]",im128.png,4/1/2023 0:00,math,1,images/im128.png,admin
im129,"What is the probability of getting the sum as a prime
number ?","[5/12,1/6,7/12,11/12]",im128.png,12/7/2023 0:00,math,1,images/im128.png,admin
im13,The monthly credit card debts for individual accounts are normally distributed with a 0 standard deviations of 43 dollars.  A researcher wishes to estimate the mean monthly credit card debt for all individual accounts. Find the sample size needed to assure with 95.44 per cent confidence that the sample mean will not differ from the population mean by more than 3 units,"[687,587,None of other choices is correct, 822,721]",im13.png,822,math,1,images/im13.png,admin
im130,,"[7/36,2/9,5/18,11/36]",im130.png,Nov-36,math,1,images/im130.png,admin
im131,,"[a,b,c,d]",im131.png,b,math,1,images/im131.png,admin
im132,,"[1/4,1/2,1/8,1/16]",im132.png,8/1/2023 0:00,math,1,images/im132.png,admin
im133,,"[1/3,1/6,5/6,2/3]",im133.png,6/1/2023 0:00,math,1,images/im133.png,admin
im134,,"[Peter has better chances because, his probability
of getting the number 24 is higher than Rina,Rina has better chances because, her probability
of getting the number 24 is higher than Peter.,Peter has better chances because, his probability
of getting the number 24 is lesser than Rina., Rina has better chances because, her probability
of getting the number 24 is lesser than Peter. ]",im134.png,"Peter has better chances because, his probability
of getting the number 24 is lesser than Rina.",math,1,images/im134.png,admin
im135,What is the probability of drawing an odd number card in the first draw by the first boy ?,"[8/17,9/17,10/17,11/17]",im135.png,17-Oct,math,1,images/im135.png,admin
im136,"If in second draw, boy got number 2 and the card
is not replaced, what is the probability of drawing
a card bearing a multiple of 3 greater than 5 by the
third boy?","[1/4,1/3,2/3,5/6]",im135.png,3/2/2023 0:00,math,1,images/im135.png,admin
im137,,"[a,b,c,d]",im137.png,b,math,1,images/im137.png,admin
im138,,"[a,b,c,d]",im138.png,c,math,1,images/im138.png,admin
im139,,"[a,b,c,d]",im139.png,a,math,1,images/im139.png,admin
im14,A random sample of 23 movies with ratings of PG or PG-13 has lengths with a mean of 120 minutes and a standard deviation of 25 minutes . Construct a 95% two-sided confidence interval estimate of the standard deviation of the lengths of all movies,"[(10.16;114.05),(25.23;73.84),(373.84;1252.3),None of the other choices is correct,(19.34;35.39)]",im14.png,None of the other choices is correct,math,1,images/im14.png,admin
im140,,"[a,b,c,d]",im140.png,d,math,1,images/im140.png,admin
im141,,"[a,b,c,d]",im141.png,a,math,1,images/im141.png,admin
im142,The sum of lower limits of median class and modal class is,"[15,25,30,35]",im142.png,35,math,1,images/im142.png,admin
im143,,"[11,71,82,130]",im143.png,82,math,1,images/im143.png,admin
im144,,"[0.5,0.6,0.7,0.8]",im144.png,0.8,math,1,images/im144.png,admin
im145,"What is the probability that a person has type O
blood ?","[0.14,0.42,0.96,0.54]",im145.png,0.42,math,1,images/im145.png,admin
im146,"What is the probability that a person has type A or
type B blood ?","[0.14,0.42,0.96,0.54]",im145.png,0.96,math,1,images/im145.png,admin
im147,"What is the probability that a person has neither
type A nor type O blood ?","[0.14,0.42,0.96,0.54]",im145.png,0.54,math,1,images/im145.png,admin
im148,What is the probability that he score at least 4 ?,"[5/16,9/16,1/4,1/16]",im148.png,16-Sep,math,1,images/im148.png,admin
im149,What is the probability that he score at least 6 ?,"[5/16,9/16,1/4,1/16]",im148.png,16-May,math,1,images/im148.png,admin
im15,,"[3.47,4.02,0.37,2.15]",im15.png,0.37,math,1,images/im15.png,admin
im150,"What is the probability that the family has two or
three children?","[0.29,0.9,0.26,0.46]",im150.png,0.9,math,1,images/im150.png,admin
im151,"What is the probability that the family has less than
three children?","[0.29,0.9,0.26,0.46]",im150.png,0.46,math,1,images/im150.png,admin
im152,"What is the probability the total number of dots on
the domino is three or less ?","[2/7,5/14,3/14,3/7]",im152.png,14-Mar,math,1,images/im152.png,admin
im153,"What is the probability the total number of dots on
the domino is greater than three ?","[11/14,9/14,13/14,3/14]",im152.png,14-Sep,math,1,images/im152.png,admin
im154,What is the probability the total number of dots on the domino does not have a blank half ?,"[3/14,3/4,5/14,3/7]",im152.png,14-May,math,1,images/im152.png,admin
im155,"What is the probability the total number of dots on
the domino is less than six ?","[2/5,12/25,3/5,13/25]",im155.png,5/3/2023 0:00,math,1,images/im155.png,admin
im156,,"[(a),(b),(c),(d)]",im156.png,(c),math,1,images/im156.png,admin
im157,,"[(a),(b),(c),(d)]",im157.png,(d),math,1,images/im157.png,admin
im158,,"[20,24,26,32]",im158.png,26,math,1,images/im158.png,admin
im159,,"[3/7,4/7,4/9,5/9]",im159.png,7/4/2023 0:00,math,1,images/im159.png,admin
im16,,"[3.47,4.02,0.37,2.15]",im16.png,2.15,math,1,images/im16.png,admin
im160,,"[(a),(b),(c),(d)]",im160.png,(c),math,1,images/im160.png,admin
im161,,"[(a),(b),(c),(d)]",im161.png,(a),math,1,images/im161.png,admin
im162,,"[(a),(b),(c),(d)]",im162.png,(b),math,1,images/im162.png,admin
im163,,"[(a),(b),(c),(d)]",im163.png,(d),math,1,images/im163.png,admin
im164,,"[20,24,26,32]",im164.png,26,math,1,images/im164.png,admin
im165,,"[7/36,7/9,2/9,5/36]",im165.png,9/2/2023 0:00,math,1,images/im165.png,admin
im166,,"[A,B,C,D,E]",im166.png,C,math,1,images/im166.png,admin
im167,,"[A,B,C,D]",im167.png,B,math,1,images/im167.png,admin
im168,,"[3,7,None of the other choices is correct,6,2]",im168.png,2,math,1,images/im168.png,admin
im169,,"[A,B,C,D,E]",im169.png,A,math,1,images/im169.png,admin
im17,,"[95%,90%,None of the other choices is correct, 99%, 80%]",im17.png,0.9,math,1,images/im17.png,admin
im170,,"[A,B,C,D,E]",im170.png,C,math,1,images/im170.png,admin
im171,,"[1/2018,0,None of the others,1]",im171.png,0,math,1,images/im171.png,admin
im172,,"[-1.43,02.77,-2.3,-1.87,None of the other choices is correct]",im172.png,-2.3,math,1,images/im172.png,admin
im173,,"[0.0039,0.9844,0.2461,0.9961,None of the other choices is correct]",im173.png,0.2461,math,1,images/im173.png,admin
im174,,"[(1),(2),(3),None of the other choices is true]",im174.png,2,math,1,images/im174.png,admin
im175,,"[i, ii, iii, iv]",im175.png,iii,math,1,images/im175.png,admin
im176,,"[2.5,3.5,4.5,5.5]",im176.png,2.5,math,1,images/im176.png,admin
im177,,"[9/8,-3/20,-9/8,3/20,None of others]",im177.png,-0.15,math,1,images/im177.png,admin
im178,,"[0.673,1.734,0.987, 1.976]",im178.png,1.734,math,1,images/im178.png,admin
im179,"A teacher asked 10 of her student how many books they had read in the last 12 months. Their answer as follows: 12, 23, 9, 6 10, 7, 15, 25, 21, 12 
Prepare a stem and a leaf plot for these data. ","[i,ii,iii,iv,None of the others]",im179.png,ii,math,1,images/im179.png,admin
im18,,"[Fail to reject Ho, Reject Ho]",im18.png,Reject Ho,math,1,images/im18.png,admin
im180,The life in hours of a 75-watt light bulb is known to be normally distributed with standard diviation = 25 hours. A random sample 20 bulbs has a mean life of 1014 hours. How large a sample is needed if we want 95% confident that the error in estimating the mean life is less than 5 hours. ,"[96, 98, 95, 97, None of the others]",im180.png,95,math,1,images/im180.png,admin
im181,,"[i,ii,iii,iv,None of the others]",im181.png,iii,math,1,images/im181.png,admin
im182,A random sample of 16 fluorescent light bulbs has a mean life of 645 hours with a standard deviation of 31 hours. Construct a 95% confidence interval for the population mean. Assume the population has a normal distribution,"[None of the others, (321.7;365.8), (531.2; 612.9), (876.2;981.5), (628.5;661;5)]",im182.png,(321.7;365.8),math,1,images/im182.png,admin
im183,,"[Reject H0 if the test statistic is greater than 1.96 or less than -1.96,Reject H0 if the test statistic is greater than 2.33 or less than -2.33, Reject H0 if the test statistic is greater than 2.575 or less than -2.575, Reject H0 if the test statistic is greater than 1.645 or less than -1.645]",im183.png,Reject H0 if the test statistic is greater than 1.96 or less than -1.96,math,1,images/im183.png,admin
im184,,"[None of the others, 2.69, 2.06, 1.52, -1.38]",im184.png,1.52,math,1,images/im184.png,admin
im185,An economist is interested in studying the the income of the consumers in particular region.The standard diviation is known to be $1.500. A random sample of 50 individuals resulted in an avarage in come of $25.000. What is the width of the 95% confidence interval?  ,"[None of the others, 700.4, 831.56,350.02,415.78]",im185.png,415.78,math,1,images/im185.png,admin
im186,,"[0.9001,0.4966,0.0009,None of the others, 0.5034]",im186.png,0.5034,math,1,images/im186.png,admin
im187,,"[0.86, None of the other choices is correct, -0.93, 0.93,0.07]",im187.png,0.86,math,1,images/im187.png,admin
im188,,"[No tree will have a diameter of more than 22.3 in., Fifty percent of the trees will have diameters between 13.5 and 15.6 inches. Virtually all of the data shold fall between 0 in and 25.65 in., None of the other choices is correct, Seventy-five percent of the trees in the samples have values between 8.9 and 15.6 in. ]",im188.png, None of the other choices is correct,math,1,images/im188.png,admin
im189,,"[0.76,0.24,-0.29,0.95,None of the others choices is correct]",im189.png,0.76,math,1,images/im189.png,admin
im19,,"[0.692,0.962,-0962, None of the other choices is correct, -0.692]",im19.png,0.962,math,1,images/im19.png,admin
im190,,"[P(A) = 0.3 and P(B) = 0.5,P(A) = 0.6 and P(B) = 0.25,P(A) = 0.5 and P(B) = 0.3,P(A) = 0.6 and P(B) = 0.2]",im190.png,P(A) = 0.3 and P(B) = 0.5,math,1,images/im190.png,admin
im191,,"[i,ii,iii,iv,None of the other choices id correct]",im191.png,ii,math,1,images/im191.png,admin
im192,,"[12,3,None of the others, 6,4.4,15 ]",im192.png,4.4,math,1,images/im192.png,admin
im193,,"[None of the other choices is correct,Mean = 0.67; Standard diviation = 1, Mean = 0; Standard diviation = 1,Mean = 0; Standard diviation = 1.5,Mean = 0.67; Standard diviation = 0.67]",im193.png,Mean = 0.67; Standard diviation = 1,math,1,images/im193.png,admin
im194,,"[1,0.5,0.25,0.75]",im194.png,0.5,math,1,images/im194.png,admin
im195,,"[i,ii,iii,iv, None of the others]",im195.png,iii,math,1,images/im195.png,admin
im196,,"[1,0.5,08,0,0.3]",im196.png,0,math,1,images/im196.png,admin
im197,,"[1.976,0.987,1.734,0.673]",im197.png,0.987,math,1,images/im197.png,admin
im198,"Supose a study of houses that have sold recently in your community showed the following frequency distribution for the number of bedroom
Base on this information, what is the mode of the data ","[3,4,None of the others,140,57]",im198.png,140,math,1,images/im198.png,admin
im199,An economist is interested in studying the the income of the consumers in particular region.The population standard diviation is known to be $1.000. A random sample of 50 individuals resulted in an avarage in come of $15.000. What total sample size would economist need to use for a 95% confidence interval if the width of the interval should not be more than $100?  ,"[n = 1537,None of the others, n= 385, n = 40,n=20]",im199.png,n = 40,math,1,images/im199.png,admin
im2,,"[None of the other choice,0.35,0.85,0.21,0.16]",im2.png,0.21,math,1,images/im2.png,admin
im20,,"[0.3159,0.5682, None of the other choices is correct, 0.2415,0.0183]",im20.png,0.5682,math,1,images/im20.png,admin
im200,,"[i,ii,iii,None of the others]",im200.png,ii,math,1,images/im200.png,admin
im201,",","[0.9,0.995,0.855,0.8]",im201.png,0.8,math,1,images/im201.png,admin
im202,,"[2.00,0.19,-0.61,1.14,None of the others]",im202.png,1.14,math,1,images/im202.png,admin
im203,,"[Reject the null hypothesis, Do not reject the null hypothesis]",im203.png,Do not reject the null hypothesis,math,1,images/im203.png,admin
im204,,"[only f, only g, neither f nor g, both f and g]",im204.png,both f and g,math,1,images/im204.png,admin
im205,,"[1,0.5,0,0.3,0.8]",im205.png,0,math,1,images/im205.png,admin
im206,,"[i,ii,iii,None of the others]",im206.png,iii,math,1,images/im206.png,admin
im207,,"[None of the other choices is true, 2.00,-0.61,0.19,1.14]",im207.png,0.19,math,1,images/im207.png,admin
im208,"Of 1000 randomly selected cases of lung cancer, 731 result in death within 10 years. Caculate 95% confidence interval on the death rate from lung cancer ","[(0.307;0.751),None of the others,(0.703;0.758),(0.707;0.754)]",im208.png,None of the others,math,1,images/im208.png,admin
im209,,"[i,ii,iii,iv,None of the others]",im209.png,iv,math,1,images/im209.png,admin
im21,Construct a 95% confidence interval for the population standard deviation of a random sample of 15 men who have a mean weight of 165.2 pounds with a standard deviation of 10.3 pounds. Assume the population is normally distributed.,"[(7.9;15.0),(56.9; 263.9),(7.5,16.2), None of the other choices is correct, (2.3; 5.1)]",im21.png,(7.5; 16.2),math,1,images/im21.png,admin
im210,,"[85.18-1.51x,None of the others choices is correct,85.18x-1.51,85.18x-1.51,85.18x+1.51, 85.18+1.51x]",im210.png,85.18x-1.51,math,1,images/im210.png,admin
im211,"Suppose a study of houses that have sold recently in your community showed the following frequency distribution for the number of bedrooms: 
Base on this information, what is the media for the data  ","[57, None of the others, 4,3,140]",im211.png,57,math,1,images/im211.png,admin
im212,,"[None of the other choices is correct, Reject H0 if the test statistic is greater than 2.575 or less than -2.575.,Reject H0 if the test statistic is greater than 1.65 or less than -1.65.,Reject H0 if the test statistic is greater than 1.96 or less than -1.96., Reject H0 if the test statistic is greater than 2.33 or less than -2.33]",im212.png,Reject H0 if the test statistic is greater than 2.575 or less than -2.575.,math,1,images/im212.png,admin
im213,,"[99%,None of the choices is correct,90%,95%,96%]",im213.png,0.9,math,1,images/im213.png,admin
im214,,"[None of the other choices is correct, 0.71,0.42,0.13,0.58]",im214.png,0.58,math,1,images/im214.png,admin
im215,,"[ii,iv,i,iii]",im215.png,i,math,1,images/im215.png,admin
im216,,"[nomal with mean = 0 and standard diviation 2.16,nomal with mean = 0 and standard diviation 1.6155,nomal with mean = 0 and standard diviation 1.6155,standard normal,None of the other choices is correct]",im216.png,nomal with mean = 0 and standard diviation 2.16,math,1,images/im216.png,admin
im217,,"[0,1,None of the others, 1/2018]",im217.png,1/2018',math,1,images/im217.png,admin
im218,,"[-5.32,-6.14,None of the other choices is correct,5.32,6.14]",im218.png,5.32,math,1,images/im218.png,admin
im219,,"[2.575;-2.575,None of the other choices is correct; 2.352;-2.352,2.33;-2.33,2.609;-2.609]",im219.png,2.609;-2.609,math,1,images/im219.png,admin
im22,,"[0.2, 0.16, 0.02, 0.45, None of the other choices is correct]",im22.png,0.02,math,1,images/im22.png,admin
im220,"the grade point averages for 10 randomly selected high school students are listed below, which implies a sample mean of 2.54 and a sample standard diviation of 1.11. Assume the grade point avarages are normally distributed. 2.0 3.2 1.8 2.9 0.9 4.0 3.3 2.9 3.6 0.8 
Find a 98% confidence interval for the true mean. ","[(0.67;1.81),(1.55;3.53),(2.12;3.14),(3.11;4.35),None of the others]",im220.png,(3.11;4.35),math,1,images/im220.png,admin
im221,,"[i,ii,iii,iv,None of the others]",im221.png,i,math,1,images/im221.png,admin
im222,,"[150.67,167.94, None of the others, 173.38,130.88]",im222.png,130.88,math,1,images/im222.png,admin
im223,A survey of 300 union members in new york state reveals that 112 favor the Repulican candidate for governmor.Construct the 98% confidence interval for the true population porpotion of all New York State union who favor the Repulican candidate,"[(0.308;0.438),(0.273;0.510), (0.215;0.392),(0.298;0.430)]",im223.png,(0.298;0.430),math,1,images/im223.png,admin
im224,,"[0.4,0.5,None of the other choices is correct,0.86,0.72]",im224.png,0.86,math,1,images/im224.png,admin
im225,,"[2,6,8,None of the other choices is correct]",im225.png,8,math,1,images/im225.png,admin
im226,,"[0.874,0.692,-0.874,-0.692]",im226.png,-0.692,math,1,images/im226.png,admin
im227,,"[0.8,0.15,0.56,0.7]",im227.png,0.56,math,1,images/im227.png,admin
im228,,"[0.4,1,0.2,0.7,0]",im228.png,0.2,math,1,images/im228.png,admin
im229,,"[i,ii,iii,iv]",im229.png,i,math,1,images/im229.png,admin
im23,A laboratory tested 70 chicken eggs and found that the mean amount of cholesterol was 190 milligrams. Assume that the standard deviation is 15.1 milligrams. Construct a 95% lower confidence bound for the true mean cholesterol content of all such eggs.,"[185.28, 187.03, None of the other choices is correct, 184.79, 186.46]",im23.png,184.79,math,1,images/im23.png,admin
im230,"The investigation in your book involves collecting exercise pulse rate from 20 students in your class are shown below. Construct the boxplot for the dataset 
100, 113,115,115,116,118,123,125,136,136,138,140,142,145,147,149,150,160,163,164.","[i,ii,iii,iv,iii,None of the other choices is correct]",im230.png,iv,math,1,images/im230.png,admin
im231,,"[0,4,96,100]",im231.png,4,math,1,images/im231.png,admin
im232,,"[3,4,19,16]",im232.png,19,math,1,images/im232.png,admin
im233,"The amount of time to reached to each customer service representative has a huge impact on customer satisfaction. See picture for the excel output from a study whether there is a evidence of a difference in the mean amounts of time required to reach a customer service representative between two hotels. Assume that the population variances in the amount of time for two hotels are not equal. 
Which of the following represent the relevent hypothesis tested? ","[i,ii,iii,iiv]",im233.png,iii,math,1,images/im233.png,admin
im234,,"[homoscesdasticity,Normality of erorrs,Independece of errors,Linearity of relationship]",im234.png,Normality of erorrs,math,1,images/im234.png,admin
im235,,"[0.0286,None of the other choices is correct,2.8633,0.0356,0.1021]",im235.png,2.8633,math,1,images/im235.png,admin
im236,,"[55,30,1527.27]",im236.png,30,math,1,images/im236.png,admin
im237,,"[there is insufficent evidence to conclude that the difference between the mean traveling time for different starting locations depends on the type of signs.,there is sufficent evidence to conclude that the different between the mean traveling time for the different types of signs depends on the starting locations, there is sufficent evidence to conclude that the relationship between traveling time and the tyoes of signs depends on the starting locations, all of above]",im237.png,all of above,math,1,images/im237.png,admin
im238,,"[0.75,None of the other choices is correct,1.25,1.00,0.80]",im238.png,0.8,math,1,images/im238.png,admin
im239,,"[-0.65,-0.92,0.65,0.92,None of the other choices is correct]",im239.png,0.65,math,1,images/im239.png,admin
im24,,"[-21.5x + 31.17, 21.5+31.17x, None of the other choices is correct, -21.5 + 31.17x, 21.5x+31.17]",im24.png,-21.5+31.17x,math,1,images/im24.png,admin
im240,,"[i,ii,iii,iv]",im240.png,ii,math,1,images/im240.png,admin
im241,,"[$4.75 billion,$1.39 billion,$9.45 billion,$2.89 billion]",im241.png,$2.89 billion,math,1,images/im241.png,admin
im242,,"[-190.040.000,203.750.000,-203.750.000,190.040.000]",im242.png,190.040.000,math,1,images/im242.png,admin
im243,,"[2.0115,2.2140,0.2025,0.3544]",im243.png,0.3544,math,1,images/im243.png,admin
im244,,"[ACT scores account for 57.74% of the total flunctuation in GPA, 57.74% of the total variation of ACT scores can be explain by GPA.,GPA accounts for 57.74% of the variability of ACT scores., None of above]",im244.png,None of above,math,1,images/im244.png,admin
im245,,"[1.890,3.106,None of the other choices is correct, 2.001,1.991]",im245.png,2.001,math,1,images/im245.png,admin
im246,,"[70.69%,71.89%,84.79%,17.56%]",im246.png,0.8479,math,1,images/im246.png,admin
im247,,"[-0.06 and 2.023,0.06 and 2.023, 2.23 and 1.685, -2.23 and 1.685]",im247.png,2.23 and 1.685,math,1,images/im247.png,admin
im248,"The amount of time to reached to each customer service representative has a huge impact on customer satisfaction. See picture for the excel output from a study whether there is a evidence of a difference in the mean amounts of time required to reach a customer service representative between two hotels. Assume that the population variances in the amount of time for two hotels are not equal. 
State the null alternative hypothesis for the testing if there is evidence of a difference in the variabilities of the amount of time required to reach a customer service representative between the two hotel
","[i,ii,iii,iv]",im248.png,ii,math,1,images/im248.png,admin
im249,,"[0.9795,335.0473,0.7845,-1.8940]",im249.png,0.9795,math,1,images/im249.png,admin
im25,"A group of students were asked if they carry a credit card. The responses are listed in the table. 
If a student is selected at random; find the probability that he or she owns a credit card given that the student is a freshman. Round your answer to three decimal places.","[0.6,0.24,0.4,None of the other choices is correct, 0.393]",im25.png,0.4,math,1,images/im25.png,admin
im250,,"[8,7,14,13]",im250.png,14,math,1,images/im250.png,admin
im251,,"[259,20,369,17]",im251.png,20,math,1,images/im251.png,admin
im252,34 packages are randomly selected for packages recived by a parcel service. The sample has a mean weight of 25.9 pounds and a standard diviation of 3.8 pounds. What is the 95 percent confidence interval for the true mean weight of all packages received by the parcel services?,"[None of the other choices is correct,(24.6:27.2),(24.8;27.0),(24.2;27.6),(24.4;27.4)]",im252.png,(24.8;27.0),math,1,images/im252.png,admin
im253,,"[50,15,111,250]",im253.png,111,math,1,images/im253.png,admin
im254,,"[12,3,None of the others,6,4.4,15]",im254.png,15,math,1,images/im254.png,admin
im255,,"[None of the others, Mean = 0.67; Standard diviation = 1,Mean = 0; Standard diviation = 1,Mean = 0; Standard diviation = 1.5,Mean = 0.67; Standard diviation = 0.67]",im255.png,Mean = 0.67; Standard diviation = 1,math,1,images/im255.png,admin
im256,,"[1,0.5,0.25,0.75]",im256.png,0.25,math,1,images/im256.png,admin
im257,,"[iv,iii,ii,i,None of the others]",im257.png,iii,math,1,images/im257.png,admin
im258,,"[1,0.8,0.5,0,0.3]",im258.png,0,math,1,images/im258.png,admin
im259,,"[1.976,0.987,1.734,0.673]",im259.png,1.734,math,1,images/im259.png,admin
im26,,"[(i),(ii),(iii),None of the other choices is correct]",im26.png,(ii),math,1,images/im26.png,admin
im260,"Supose a study of houses that have sold recently in your community showed the following frequency distribution for the number of bedroom
Base on this information, what is the mean of the data ","[2,5,6,140, 67, None of the others]",im260.png,67,math,1,images/im260.png,admin
im261,,"[i,ii,iii,iv,None of the others]",im261.png,ii,math,1,images/im261.png,admin
im262,,"[2.00,0.19,-0.61,1.14,None of the other choices is true]",im262.png,0.19,math,1,images/im262.png,admin
im263,,"[None of the other choices is correct, i,ii,iii,iv]",im263.png,iii,math,1,images/im263.png,admin
im264,,"[95%,None of the other choices is correct, 96%, 90%,99%]",im264.png,0.99,math,1,images/im264.png,admin
im265,,"[2.7,0.0027,1.27,None of the others]",im265.png,1.27,math,1,images/im265.png,admin
im266,,"[iv, iii, ii,i,None of the others is correct]",im266.png,i,math,1,images/im266.png,admin
im267,,"[60,3,16,1,None of the other choices is true]",im267.png,16,math,1,images/im267.png,admin
im268,,"[None of the other choices is true,2.19,9.24,5.01,3.04 ]",im268.png,3.04,math,1,images/im268.png,admin
im269,,"[None of the others,0.5438,0.638,0.4562,1]",im269.png,1,math,1,images/im269.png,admin
im27,,"[A,B,C,D]",im27.png,D,math,1,images/im27.png,admin
im270,,"[0,0.5,1,0.25,None of the choices is correct]",im270.png,0.5,math,1,images/im270.png,admin
im271,Weights of women in one age group are normally distributed with a standard divation of 13 lb. A researcher wishes to estimate the mean weight of all women in this age group. Find how large a sample must be drawn in order to be 90 percent confident that the sample mean will not differ from the population mean by more than 3.5 lb,"[None of the other choices are correct,38,44,23,32]",im271.png,44,math,1,images/im271.png,admin
im272,,"[0.5,0.4,None of the other choices is correct,0.6,1]",im272.png,0.4,math,1,images/im272.png,admin
im273,,"[0.12,0.43,None of the other choices is correct,0.72,0.35]",im273.png,0.72,math,1,images/im273.png,admin
im274,,"[None of the other choices is correct, i, ii,iii,iv]",im274.png,iii,math,1,images/im274.png,admin
im275,,"[0.83,0.72,0.85,0.955]",im275.png,0.72,math,1,images/im275.png,admin
im276,A polisher wishes to estimate the proportion of United States voters who favor capital punishment. How large a sample is needed in order to be 95% confident that the sample proportion will not differ from the true propotion by more than 3%? ,"[2135,752,None of the other chocies is correct,1068,17 ]",im276.png,17,math,1,images/im276.png,admin
im277,,"[(0.03;0.17),(0.07;0.11),(0.05;0.15),None of the other choices is correct]",im277.png,(0.05;0.15),math,1,images/im277.png,admin
